Actual_Class,Fraud_Probability,Risk_Score,Risk_Category,Recommended_Action
0,0.058975067,6,Low Risk,Auto Approve
0,0.6880744,69,High Risk,Manual Investigation
0,0.009520953,1,Low Risk,Auto Approve
0,0.35228878,35,Medium Risk,Quick Verification
0,0.003647593,0,Low Risk,Auto Approve
0,0.00014217607,0,Low Risk,Auto Approve
0,8.082801e-05,0,Low Risk,Auto Approve
0,0.041911863,4,Low Risk,Auto Approve
0,0.055044163,6,Low Risk,Auto Approve
0,0.00035922977,0,Low Risk,Auto Approve
0,0.20976713,21,Low Risk,Auto Approve
0,0.6806428,68,High Risk,Manual Investigation
0,0.74373317,74,High Risk,Manual Investigation
0,0.0029934081,0,Low Risk,Auto Approve
0,0.66622454,67,High Risk,Manual Investigation
0,0.13305397,13,Low Risk,Auto Approve
0,0.010762025,1,Low Risk,Auto Approve
0,0.001939376,0,Low Risk,Auto Approve
0,9.722625e-06,0,Low Risk,Auto Approve
0,0.36958838,37,Medium Risk,Quick Verification
0,0.0017580203,0,Low Risk,Auto Approve
0,0.047955774,5,Low Risk,Auto Approve
0,0.0030866195,0,Low Risk,Auto Approve
0,0.0033880647,0,Low Risk,Auto Approve
0,0.7402341,74,High Risk,Manual Investigation
0,0.031145427,3,Low Risk,Auto Approve
0,0.035493243,4,Low Risk,Auto Approve
0,0.009786699,1,Low Risk,Auto Approve
1,0.03728719,4,Low Risk,Auto Approve
0,0.0013500146,0,Low Risk,Auto Approve
0,0.0011088976,0,Low Risk,Auto Approve
0,0.92558086,93,Critical Risk,Fraud Investigation Team
0,0.61453736,61,High Risk,Manual Investigation
0,0.01436704,1,Low Risk,Auto Approve
0,0.45824984,46,Medium Risk,Quick Verification
0,0.1200361,12,Low Risk,Auto Approve
0,0.044214193,4,Low Risk,Auto Approve
0,0.0010883289,0,Low Risk,Auto Approve
0,0.8667296,87,Critical Risk,Fraud Investigation Team
0,0.77819157,78,Critical Risk,Fraud Investigation Team
1,0.18125962,18,Low Risk,Auto Approve
0,0.44062787,44,Medium Risk,Quick Verification
0,0.0012806254,0,Low Risk,Auto Approve
0,0.013122222,1,Low Risk,Auto Approve
0,0.69367516,69,High Risk,Manual Investigation
0,0.2328146,23,Low Risk,Auto Approve
0,3.6428617e-05,0,Low Risk,Auto Approve
0,0.00056246243,0,Low Risk,Auto Approve
0,0.51969296,52,High Risk,Manual Investigation
0,0.0013736835,0,Low Risk,Auto Approve
0,8.670354e-05,0,Low Risk,Auto Approve
0,0.13179556,13,Low Risk,Auto Approve
0,0.0030566717,0,Low Risk,Auto Approve
0,0.15888056,16,Low Risk,Auto Approve
0,0.007978501,1,Low Risk,Auto Approve
0,0.000102286685,0,Low Risk,Auto Approve
0,0.43409705,43,Medium Risk,Quick Verification
0,0.00071491965,0,Low Risk,Auto Approve
1,0.15055369,15,Low Risk,Auto Approve
0,0.00011871618,0,Low Risk,Auto Approve
0,0.754538,75,High Risk,Manual Investigation
0,0.5461043,55,High Risk,Manual Investigation
0,0.047548685,5,Low Risk,Auto Approve
0,0.006131783,1,Low Risk,Auto Approve
1,0.8411114,84,Critical Risk,Fraud Investigation Team
0,0.0044200043,0,Low Risk,Auto Approve
0,0.00041485042,0,Low Risk,Auto Approve
0,0.045374885,5,Low Risk,Auto Approve
0,0.00036853904,0,Low Risk,Auto Approve
0,0.2946409,29,Medium Risk,Quick Verification
0,0.00047367753,0,Low Risk,Auto Approve
0,0.002583944,0,Low Risk,Auto Approve
0,0.73637027,74,High Risk,Manual Investigation
0,0.0010227243,0,Low Risk,Auto Approve
0,0.038733985,4,Low Risk,Auto Approve
0,0.0016543476,0,Low Risk,Auto Approve
0,0.1885167,19,Low Risk,Auto Approve
0,6.430801e-05,0,Low Risk,Auto Approve
0,0.00017470484,0,Low Risk,Auto Approve
0,0.008558974,1,Low Risk,Auto Approve
0,0.00828056,1,Low Risk,Auto Approve
0,3.4719375e-05,0,Low Risk,Auto Approve
0,0.02114051,2,Low Risk,Auto Approve
0,0.74947566,75,High Risk,Manual Investigation
0,0.7535323,75,High Risk,Manual Investigation
0,0.0020402002,0,Low Risk,Auto Approve
0,0.09700664,10,Low Risk,Auto Approve
0,0.894772,89,Critical Risk,Fraud Investigation Team
1,0.8735067,87,Critical Risk,Fraud Investigation Team
1,0.5713567,57,High Risk,Manual Investigation
0,0.18371113,18,Low Risk,Auto Approve
0,0.18887413,19,Low Risk,Auto Approve
0,2.9130852e-05,0,Low Risk,Auto Approve
0,0.09849934,10,Low Risk,Auto Approve
0,0.016524317,2,Low Risk,Auto Approve
0,0.0026984005,0,Low Risk,Auto Approve
0,0.0004316566,0,Low Risk,Auto Approve
0,0.0010035723,0,Low Risk,Auto Approve
1,0.9653378,97,Critical Risk,Fraud Investigation Team
0,0.0019652804,0,Low Risk,Auto Approve
0,0.0021849493,0,Low Risk,Auto Approve
0,0.0036181326,0,Low Risk,Auto Approve
0,0.111968026,11,Low Risk,Auto Approve
0,0.010298235,1,Low Risk,Auto Approve
0,0.009479922,1,Low Risk,Auto Approve
0,0.006079977,1,Low Risk,Auto Approve
0,0.9229071,92,Critical Risk,Fraud Investigation Team
0,0.78627354,79,Critical Risk,Fraud Investigation Team
0,0.23716798,24,Low Risk,Auto Approve
1,0.60582536,61,High Risk,Manual Investigation
0,0.024603812,2,Low Risk,Auto Approve
0,0.014695091,1,Low Risk,Auto Approve
0,0.4467827,45,Medium Risk,Quick Verification
0,0.0012661441,0,Low Risk,Auto Approve
1,0.85333705,85,Critical Risk,Fraud Investigation Team
0,0.45904478,46,Medium Risk,Quick Verification
0,0.008958565,1,Low Risk,Auto Approve
0,0.35280886,35,Medium Risk,Quick Verification
1,0.2674244,27,Medium Risk,Quick Verification
0,0.600988,60,High Risk,Manual Investigation
0,0.73332196,73,High Risk,Manual Investigation
0,0.23499718,23,Low Risk,Auto Approve
0,0.93295544,93,Critical Risk,Fraud Investigation Team
0,0.8667726,87,Critical Risk,Fraud Investigation Team
0,0.6338638,63,High Risk,Manual Investigation
0,0.0030399156,0,Low Risk,Auto Approve
0,0.18675172,19,Low Risk,Auto Approve
0,0.14445227,14,Low Risk,Auto Approve
0,0.0003145429,0,Low Risk,Auto Approve
0,0.66327447,66,High Risk,Manual Investigation
1,0.71023273,71,High Risk,Manual Investigation
0,0.011595727,1,Low Risk,Auto Approve
0,0.012898532,1,Low Risk,Auto Approve
0,0.0074764225,1,Low Risk,Auto Approve
0,0.5512281,55,High Risk,Manual Investigation
0,0.18671827,19,Low Risk,Auto Approve
1,0.30521864,31,Medium Risk,Quick Verification
0,0.04198096,4,Low Risk,Auto Approve
0,0.051154345,5,Low Risk,Auto Approve
0,0.03318816,3,Low Risk,Auto Approve
0,0.7425091,74,High Risk,Manual Investigation
0,1.1358235e-05,0,Low Risk,Auto Approve
1,0.6434233,64,High Risk,Manual Investigation
0,0.002027504,0,Low Risk,Auto Approve
0,0.00095638045,0,Low Risk,Auto Approve
0,0.015131438,2,Low Risk,Auto Approve
0,0.00022767136,0,Low Risk,Auto Approve
0,0.020634778,2,Low Risk,Auto Approve
0,0.0057681985,1,Low Risk,Auto Approve
0,0.56811434,57,High Risk,Manual Investigation
0,0.006853099,1,Low Risk,Auto Approve
0,0.181873,18,Low Risk,Auto Approve
0,0.0005934988,0,Low Risk,Auto Approve
0,0.29318884,29,Medium Risk,Quick Verification
0,0.84751976,85,Critical Risk,Fraud Investigation Team
0,0.47752956,48,Medium Risk,Quick Verification
0,0.0018076479,0,Low Risk,Auto Approve
0,0.69554305,70,High Risk,Manual Investigation
0,0.5420629,54,High Risk,Manual Investigation
0,0.7677487,77,Critical Risk,Fraud Investigation Team
1,0.3393926,34,Medium Risk,Quick Verification
0,0.0264048,3,Low Risk,Auto Approve
0,0.4167592,42,Medium Risk,Quick Verification
0,0.8518256,85,Critical Risk,Fraud Investigation Team
0,0.0439576,4,Low Risk,Auto Approve
0,0.044449575,4,Low Risk,Auto Approve
0,0.00031426176,0,Low Risk,Auto Approve
0,0.00061091507,0,Low Risk,Auto Approve
0,0.14342451,14,Low Risk,Auto Approve
0,0.0759841,8,Low Risk,Auto Approve
0,0.0019554351,0,Low Risk,Auto Approve
0,0.0035078044,0,Low Risk,Auto Approve
0,0.0010750459,0,Low Risk,Auto Approve
0,0.000596066,0,Low Risk,Auto Approve
0,0.06322431,6,Low Risk,Auto Approve
0,0.001140608,0,Low Risk,Auto Approve
0,0.549166,55,High Risk,Manual Investigation
0,0.08992193,9,Low Risk,Auto Approve
0,0.013497888,1,Low Risk,Auto Approve
0,0.066529684,7,Low Risk,Auto Approve
0,0.6623825,66,High Risk,Manual Investigation
0,0.5646966,56,High Risk,Manual Investigation
0,0.25705102,26,Medium Risk,Quick Verification
0,0.0022950384,0,Low Risk,Auto Approve
0,0.009513342,1,Low Risk,Auto Approve
0,0.15953213,16,Low Risk,Auto Approve
0,0.63674784,64,High Risk,Manual Investigation
1,0.7515951,75,High Risk,Manual Investigation
1,0.83559054,84,Critical Risk,Fraud Investigation Team
0,0.0027526245,0,Low Risk,Auto Approve
0,0.0010615618,0,Low Risk,Auto Approve
0,0.00952285,1,Low Risk,Auto Approve
0,0.0023178393,0,Low Risk,Auto Approve
0,0.50968826,51,High Risk,Manual Investigation
0,0.3997421,40,Medium Risk,Quick Verification
0,0.37475246,37,Medium Risk,Quick Verification
0,0.0058099306,1,Low Risk,Auto Approve
0,0.0014338365,0,Low Risk,Auto Approve
0,0.004430096,0,Low Risk,Auto Approve
0,0.08543287,9,Low Risk,Auto Approve
0,0.006698312,1,Low Risk,Auto Approve
1,0.84881467,85,Critical Risk,Fraud Investigation Team
0,0.27947083,28,Medium Risk,Quick Verification
0,0.006668145,1,Low Risk,Auto Approve
0,0.0011265336,0,Low Risk,Auto Approve
0,0.0061540306,1,Low Risk,Auto Approve
0,0.008242352,1,Low Risk,Auto Approve
1,0.41504914,42,Medium Risk,Quick Verification
0,0.016778244,2,Low Risk,Auto Approve
0,0.6740215,67,High Risk,Manual Investigation
0,0.5562628,56,High Risk,Manual Investigation
0,0.052342538,5,Low Risk,Auto Approve
0,0.043584518,4,Low Risk,Auto Approve
0,0.0008452285,0,Low Risk,Auto Approve
0,0.118638374,12,Low Risk,Auto Approve
0,0.0012662569,0,Low Risk,Auto Approve
0,0.24046367,24,Low Risk,Auto Approve
0,0.0006874914,0,Low Risk,Auto Approve
0,0.6726969,67,High Risk,Manual Investigation
0,0.0025234004,0,Low Risk,Auto Approve
1,0.7960272,80,Critical Risk,Fraud Investigation Team
0,0.015323664,2,Low Risk,Auto Approve
1,0.40463012,40,Medium Risk,Quick Verification
0,0.034286793,3,Low Risk,Auto Approve
0,0.49908817,50,Medium Risk,Quick Verification
0,0.058167636,6,Low Risk,Auto Approve
0,0.23912553,24,Low Risk,Auto Approve
0,0.78903556,79,Critical Risk,Fraud Investigation Team
0,0.0007874693,0,Low Risk,Auto Approve
0,0.15563896,16,Low Risk,Auto Approve
0,0.033500478,3,Low Risk,Auto Approve
0,0.7403553,74,High Risk,Manual Investigation
0,0.009939886,1,Low Risk,Auto Approve
0,0.0069407574,1,Low Risk,Auto Approve
0,0.6818619,68,High Risk,Manual Investigation
0,0.07067827,7,Low Risk,Auto Approve
1,0.9722234,97,Critical Risk,Fraud Investigation Team
0,0.028675638,3,Low Risk,Auto Approve
0,0.4191308,42,Medium Risk,Quick Verification
0,0.0021084133,0,Low Risk,Auto Approve
0,0.004488615,0,Low Risk,Auto Approve
0,0.48357,48,Medium Risk,Quick Verification
0,0.041334398,4,Low Risk,Auto Approve
1,0.646944,65,High Risk,Manual Investigation
0,0.61422867,61,High Risk,Manual Investigation
0,0.012169024,1,Low Risk,Auto Approve
0,0.033571146,3,Low Risk,Auto Approve
0,0.45669797,46,Medium Risk,Quick Verification
0,0.03840445,4,Low Risk,Auto Approve
0,0.18451734,18,Low Risk,Auto Approve
0,0.007889211,1,Low Risk,Auto Approve
0,0.51142246,51,High Risk,Manual Investigation
0,6.8412235e-05,0,Low Risk,Auto Approve
1,0.4433945,44,Medium Risk,Quick Verification
0,0.019245852,2,Low Risk,Auto Approve
0,0.33335176,33,Medium Risk,Quick Verification
0,0.28931314,29,Medium Risk,Quick Verification
0,0.34791684,35,Medium Risk,Quick Verification
0,0.7461075,75,High Risk,Manual Investigation
0,0.70766836,71,High Risk,Manual Investigation
0,8.305071e-05,0,Low Risk,Auto Approve
0,0.6688024,67,High Risk,Manual Investigation
0,0.8116856,81,Critical Risk,Fraud Investigation Team
0,0.026137242,3,Low Risk,Auto Approve
0,0.024597729,2,Low Risk,Auto Approve
0,0.12294647,12,Low Risk,Auto Approve
0,0.0032582055,0,Low Risk,Auto Approve
0,0.22204213,22,Low Risk,Auto Approve
1,0.25857016,26,Medium Risk,Quick Verification
0,0.00919283,1,Low Risk,Auto Approve
0,0.006568361,1,Low Risk,Auto Approve
0,0.051810402,5,Low Risk,Auto Approve
0,0.0025904435,0,Low Risk,Auto Approve
0,0.7319166,73,High Risk,Manual Investigation
0,0.001238,0,Low Risk,Auto Approve
0,0.957221,96,Critical Risk,Fraud Investigation Team
0,0.07511546,8,Low Risk,Auto Approve
0,0.06775715,7,Low Risk,Auto Approve
0,0.00468761,0,Low Risk,Auto Approve
0,0.073790334,7,Low Risk,Auto Approve
0,0.0016159789,0,Low Risk,Auto Approve
0,0.0058570975,1,Low Risk,Auto Approve
0,0.00031513814,0,Low Risk,Auto Approve
0,0.08862999,9,Low Risk,Auto Approve
0,0.0062321746,1,Low Risk,Auto Approve
0,0.070084214,7,Low Risk,Auto Approve
0,0.007999641,1,Low Risk,Auto Approve
0,0.004732381,0,Low Risk,Auto Approve
0,0.45202717,45,Medium Risk,Quick Verification
0,0.64230424,64,High Risk,Manual Investigation
0,0.17068858,17,Low Risk,Auto Approve
1,0.3823602,38,Medium Risk,Quick Verification
0,0.008938056,1,Low Risk,Auto Approve
0,0.09559813,10,Low Risk,Auto Approve
0,0.42104214,42,Medium Risk,Quick Verification
0,0.0043180035,0,Low Risk,Auto Approve
0,0.0020951969,0,Low Risk,Auto Approve
0,0.085048035,9,Low Risk,Auto Approve
0,0.42795056,43,Medium Risk,Quick Verification
0,0.28622606,29,Medium Risk,Quick Verification
0,0.353414,35,Medium Risk,Quick Verification
0,0.0013732002,0,Low Risk,Auto Approve
0,0.000986292,0,Low Risk,Auto Approve
0,0.27294713,27,Medium Risk,Quick Verification
0,0.0008811799,0,Low Risk,Auto Approve
0,0.00085473154,0,Low Risk,Auto Approve
0,0.012237304,1,Low Risk,Auto Approve
0,0.64169246,64,High Risk,Manual Investigation
0,0.013543585,1,Low Risk,Auto Approve
0,0.7588008,76,Critical Risk,Fraud Investigation Team
0,0.018920276,2,Low Risk,Auto Approve
0,0.0002288885,0,Low Risk,Auto Approve
0,0.065452054,7,Low Risk,Auto Approve
0,0.31699812,32,Medium Risk,Quick Verification
0,0.0001677418,0,Low Risk,Auto Approve
0,0.0009175014,0,Low Risk,Auto Approve
0,4.437805e-05,0,Low Risk,Auto Approve
0,0.16501644,17,Low Risk,Auto Approve
0,0.042393547,4,Low Risk,Auto Approve
0,0.05929097,6,Low Risk,Auto Approve
0,0.059540022,6,Low Risk,Auto Approve
0,0.14329596,14,Low Risk,Auto Approve
0,0.024997648,2,Low Risk,Auto Approve
0,0.0020727592,0,Low Risk,Auto Approve
0,0.00095982826,0,Low Risk,Auto Approve
0,0.00042155842,0,Low Risk,Auto Approve
0,0.0019735517,0,Low Risk,Auto Approve
0,0.0030513913,0,Low Risk,Auto Approve
0,0.46016455,46,Medium Risk,Quick Verification
0,0.00026696027,0,Low Risk,Auto Approve
0,0.0013747384,0,Low Risk,Auto Approve
0,0.015691184,2,Low Risk,Auto Approve
0,0.3655325,37,Medium Risk,Quick Verification
0,0.854953,85,Critical Risk,Fraud Investigation Team
0,0.007234336,1,Low Risk,Auto Approve
1,0.06486286,6,Low Risk,Auto Approve
0,4.0152467e-05,0,Low Risk,Auto Approve
0,0.0009705183,0,Low Risk,Auto Approve
0,0.0014625876,0,Low Risk,Auto Approve
0,0.0077648847,1,Low Risk,Auto Approve
0,8.564163e-05,0,Low Risk,Auto Approve
1,0.45226493,45,Medium Risk,Quick Verification
0,0.00010316368,0,Low Risk,Auto Approve
0,0.0026634713,0,Low Risk,Auto Approve
0,0.4310947,43,Medium Risk,Quick Verification
1,0.676855,68,High Risk,Manual Investigation
0,0.002873703,0,Low Risk,Auto Approve
0,0.38619357,39,Medium Risk,Quick Verification
0,0.001737949,0,Low Risk,Auto Approve
0,0.00013317254,0,Low Risk,Auto Approve
0,0.002287146,0,Low Risk,Auto Approve
0,0.13695328,14,Low Risk,Auto Approve
0,0.12923063,13,Low Risk,Auto Approve
0,0.2329565,23,Low Risk,Auto Approve
1,0.53602153,54,High Risk,Manual Investigation
1,0.2882457,29,Medium Risk,Quick Verification
0,0.27369857,27,Medium Risk,Quick Verification
0,0.0021144485,0,Low Risk,Auto Approve
0,0.019141546,2,Low Risk,Auto Approve
0,0.0036511645,0,Low Risk,Auto Approve
0,0.031205636,3,Low Risk,Auto Approve
0,0.0025676053,0,Low Risk,Auto Approve
0,0.0034005886,0,Low Risk,Auto Approve
0,0.0010529076,0,Low Risk,Auto Approve
0,0.6460272,65,High Risk,Manual Investigation
0,0.00036688603,0,Low Risk,Auto Approve
0,0.122808926,12,Low Risk,Auto Approve
0,0.0045466553,0,Low Risk,Auto Approve
0,0.23288463,23,Low Risk,Auto Approve
0,0.6493547,65,High Risk,Manual Investigation
0,0.086392306,9,Low Risk,Auto Approve
0,0.0012662924,0,Low Risk,Auto Approve
0,0.006152531,1,Low Risk,Auto Approve
0,0.0035635163,0,Low Risk,Auto Approve
0,0.12714954,13,Low Risk,Auto Approve
0,0.2950426,30,Medium Risk,Quick Verification
0,0.21540283,22,Low Risk,Auto Approve
0,0.035149194,4,Low Risk,Auto Approve
0,0.007262475,1,Low Risk,Auto Approve
0,0.5287798,53,High Risk,Manual Investigation
0,0.8472758,85,Critical Risk,Fraud Investigation Team
0,0.6626639,66,High Risk,Manual Investigation
0,0.005191163,1,Low Risk,Auto Approve
0,7.8486075e-05,0,Low Risk,Auto Approve
0,0.02691522,3,Low Risk,Auto Approve
0,0.000742831,0,Low Risk,Auto Approve
0,0.4522226,45,Medium Risk,Quick Verification
0,0.00031105708,0,Low Risk,Auto Approve
0,0.45455435,45,Medium Risk,Quick Verification
0,0.35856473,36,Medium Risk,Quick Verification
0,0.0026977898,0,Low Risk,Auto Approve
0,0.803576,80,Critical Risk,Fraud Investigation Team
0,0.046112053,5,Low Risk,Auto Approve
0,0.00078115874,0,Low Risk,Auto Approve
0,0.014627783,1,Low Risk,Auto Approve
0,0.0020772666,0,Low Risk,Auto Approve
0,0.043931846,4,Low Risk,Auto Approve
0,0.010335797,1,Low Risk,Auto Approve
0,0.03630884,4,Low Risk,Auto Approve
0,0.00053119747,0,Low Risk,Auto Approve
0,0.0014503194,0,Low Risk,Auto Approve
0,0.04396234,4,Low Risk,Auto Approve
0,0.06834394,7,Low Risk,Auto Approve
0,0.014784519,1,Low Risk,Auto Approve
0,0.003874489,0,Low Risk,Auto Approve
0,0.0034773913,0,Low Risk,Auto Approve
0,0.049562342,5,Low Risk,Auto Approve
0,0.0005618489,0,Low Risk,Auto Approve
0,0.29636464,30,Medium Risk,Quick Verification
0,0.0025517656,0,Low Risk,Auto Approve
0,0.021131268,2,Low Risk,Auto Approve
0,0.004269053,0,Low Risk,Auto Approve
0,0.6286513,63,High Risk,Manual Investigation
0,0.0010127751,0,Low Risk,Auto Approve
0,0.0060969065,1,Low Risk,Auto Approve
0,0.329658,33,Medium Risk,Quick Verification
0,0.09647477,10,Low Risk,Auto Approve
0,0.0034771184,0,Low Risk,Auto Approve
0,0.023566235,2,Low Risk,Auto Approve
0,0.111630395,11,Low Risk,Auto Approve
0,0.0013788214,0,Low Risk,Auto Approve
0,0.028322635,3,Low Risk,Auto Approve
0,0.49561647,50,Medium Risk,Quick Verification
0,0.015908869,2,Low Risk,Auto Approve
0,0.2694691,27,Medium Risk,Quick Verification
0,0.96112204,96,Critical Risk,Fraud Investigation Team
0,0.5880704,59,High Risk,Manual Investigation
0,0.017806299,2,Low Risk,Auto Approve
0,0.00038600527,0,Low Risk,Auto Approve
0,0.0035344432,0,Low Risk,Auto Approve
0,0.002634955,0,Low Risk,Auto Approve
0,0.14731894,15,Low Risk,Auto Approve
0,0.025483336,3,Low Risk,Auto Approve
0,0.01181621,1,Low Risk,Auto Approve
0,0.0038440737,0,Low Risk,Auto Approve
0,0.6591163,66,High Risk,Manual Investigation
1,0.81489706,81,Critical Risk,Fraud Investigation Team
0,0.91619986,92,Critical Risk,Fraud Investigation Team
0,0.83764386,84,Critical Risk,Fraud Investigation Team
0,0.0015151731,0,Low Risk,Auto Approve
0,0.0069832844,1,Low Risk,Auto Approve
0,0.0009771056,0,Low Risk,Auto Approve
0,0.00026614196,0,Low Risk,Auto Approve
0,0.028416004,3,Low Risk,Auto Approve
0,0.6404877,64,High Risk,Manual Investigation
0,0.18699889,19,Low Risk,Auto Approve
0,0.13621096,14,Low Risk,Auto Approve
0,0.044408347,4,Low Risk,Auto Approve
0,0.0009779857,0,Low Risk,Auto Approve
0,0.012547833,1,Low Risk,Auto Approve
0,0.00021821418,0,Low Risk,Auto Approve
0,0.19035354,19,Low Risk,Auto Approve
0,0.003149341,0,Low Risk,Auto Approve
0,0.0019116775,0,Low Risk,Auto Approve
0,0.13468926,13,Low Risk,Auto Approve
0,0.0021283936,0,Low Risk,Auto Approve
0,0.06324493,6,Low Risk,Auto Approve
0,0.18268602,18,Low Risk,Auto Approve
0,0.4370769,44,Medium Risk,Quick Verification
0,0.0006663894,0,Low Risk,Auto Approve
0,0.0057035754,1,Low Risk,Auto Approve
0,0.0056141852,1,Low Risk,Auto Approve
0,0.0039735697,0,Low Risk,Auto Approve
0,0.326486,33,Medium Risk,Quick Verification
0,0.00041641726,0,Low Risk,Auto Approve
0,0.72430676,72,High Risk,Manual Investigation
0,0.17254403,17,Low Risk,Auto Approve
1,0.0033125028,0,Low Risk,Auto Approve
0,0.006350643,1,Low Risk,Auto Approve
0,0.0017577173,0,Low Risk,Auto Approve
0,0.4951253,50,Medium Risk,Quick Verification
0,0.62575155,63,High Risk,Manual Investigation
1,0.8011468,80,Critical Risk,Fraud Investigation Team
0,0.00084658305,0,Low Risk,Auto Approve
0,0.31161055,31,Medium Risk,Quick Verification
0,0.5080326,51,High Risk,Manual Investigation
0,0.013278479,1,Low Risk,Auto Approve
0,0.0042367624,0,Low Risk,Auto Approve
0,0.21502428,22,Low Risk,Auto Approve
0,0.13151377,13,Low Risk,Auto Approve
0,0.006343293,1,Low Risk,Auto Approve
0,0.006754167,1,Low Risk,Auto Approve
0,0.7224954,72,High Risk,Manual Investigation
0,0.0057200245,1,Low Risk,Auto Approve
0,0.113157764,11,Low Risk,Auto Approve
0,0.008849191,1,Low Risk,Auto Approve
0,0.00066219486,0,Low Risk,Auto Approve
0,0.01843594,2,Low Risk,Auto Approve
0,0.0037334298,0,Low Risk,Auto Approve
0,0.010999006,1,Low Risk,Auto Approve
0,0.002234168,0,Low Risk,Auto Approve
0,0.018316627,2,Low Risk,Auto Approve
0,0.006756676,1,Low Risk,Auto Approve
0,0.7321452,73,High Risk,Manual Investigation
0,0.51800597,52,High Risk,Manual Investigation
0,0.008301293,1,Low Risk,Auto Approve
0,0.00541776,1,Low Risk,Auto Approve
0,0.0030558696,0,Low Risk,Auto Approve
1,0.014808696,1,Low Risk,Auto Approve
0,0.47261447,47,Medium Risk,Quick Verification
0,0.79226595,79,Critical Risk,Fraud Investigation Team
1,0.60239816,60,High Risk,Manual Investigation
0,0.0044941986,0,Low Risk,Auto Approve
0,0.022976503,2,Low Risk,Auto Approve
0,0.7976344,80,Critical Risk,Fraud Investigation Team
0,0.13336074,13,Low Risk,Auto Approve
0,0.00086550915,0,Low Risk,Auto Approve
0,0.65275294,65,High Risk,Manual Investigation
0,0.0016420878,0,Low Risk,Auto Approve
0,0.0019185005,0,Low Risk,Auto Approve
0,0.016537061,2,Low Risk,Auto Approve
1,0.3725378,37,Medium Risk,Quick Verification
0,0.20500284,21,Low Risk,Auto Approve
0,0.060804214,6,Low Risk,Auto Approve
0,0.45167804,45,Medium Risk,Quick Verification
0,0.20075671,20,Low Risk,Auto Approve
0,0.185816,19,Low Risk,Auto Approve
0,8.890933e-05,0,Low Risk,Auto Approve
